sec"   "mA"   "mV
0.153    -0.436325550079346    -20.2688236236572
0.251    -0.456090122461319    -19.1683654785156
0.349    -0.483775734901428    -18.7126369476318
0.446    -0.483775734901428    -17.3464164733887
0.544    -0.507488191127777    -16.9669647216797
0.641    -0.509462118148804    -15.9418153762817
0.739    -0.493645370006561    -15.2966022491455
0.837    -0.521331012248993    -14.2719373703003
0.934    -0.50551426410675    -13.7025175094604
1.032    -0.489697515964508    -12.7157497406006
1.13    -0.481801807880402    -12.1463298797607
1.227    -0.51143604516983    -10.9316968917847
1.325    -0.521331012248993    -10.2864837646484
1.423    -0.485749661922455    -9.64078521728516
1.52    -0.489697515964508    -8.84398555755615
1.618    -0.499592483043671    -7.78093910217285
1.715    -0.521331012248993    -7.05993270874023
1.813    -0.52330493927002    -6.22475099563599
1.911    -0.521331012248993    -5.31377649307251
2.008    -0.515409231185913    -4.44069814682007
2.106    -0.51143604516983    -3.90917491912842
2.204    -0.509462118148804    -2.73292422294617
2.301    -0.487723588943481    -2.23929738998413
2.399    -0.497618556022644    -1.21463298797607
2.496    -0.51143604516983    -0.568934082984924
2.594    -0.499592483043671    0.607316493988037
2.694    -0.507488191127777    1.32880854606628
2.794    -0.485749661922455    2.20188665390015
2.895    -0.519357085227966    2.88499641418457
2.995    -0.493645370006561    3.94755721092224
3.095    -0.481801807880402    4.70694589614868
3.195    -0.521331012248993    5.54212760925293
3.296    -0.493645370006561    6.2252368927002
3.396    -0.487723588943481    7.32618045806885
3.496    -0.51143604516983    7.97139358520508
3.596    -0.487723588943481    8.76819229125977
3.696    -0.495619297027588    9.60337448120117
3.797    -0.50551426410675    10.7422142028809
3.897    -0.52330493927002    11.4253234863281
3.997    -0.483775734901428    12.1084337234497
4.097    -0.501566410064697    13.0194082260132
4.197    -0.497618556022644    13.7787971496582
4.298    -0.531225919723511    14.348217010498
4.398    -0.513435304164886    15.4486742019653
4.498    -0.499592483043671    15.9801979064941
4.598    -0.487723588943481    16.9669647216797
4.698    -0.477828651666641    17.5363845825195
4.799    -0.51143604516983    18.4473609924316
4.899    -0.499592483043671    19.5104064941406
4.999    -0.52330493927002    20.2314128875732
5.099    -0.483775734901428    21.3323574066162
5.199    -0.519357085227966    22.0154666900635
5.3    -0.489697515964508    22.8127517700195
5.4    -0.515409231185913    23.5716533660889
5.5    -0.493645370006561    24.5205249786377
5.6    -0.477828651666641    25.4693965911865
5.7    -0.489697515964508    26.3045787811279
5.801    -0.477828651666641    27.101863861084
5.901    -0.489697515964508    28.1265277862549
6.001    -0.483775734901428    28.5438747406006
6.101    -0.485749661922455    29.7206115722656
6.201    -0.499592483043671    30.480001449585
6.302    -0.493645370006561    31.4288711547852
6.402    -0.456090122461319    32.0740852355957
6.502    -0.509462118148804    33.0987510681152
6.602    -0.485749661922455    33.7444496154785
6.702    -0.51143604516983    34.6554222106934
6.803    -0.499592483043671    35.5663986206055
6.903    -0.51738315820694    36.5910606384277
7.003    -0.507488191127777    37.1225852966309
7.103    -0.509462118148804    38.1093521118164
7.203    -0.489697515964508    38.8303604125977
7.304    -0.493645370006561    39.9692001342773
7.404    -0.509462118148804    40.6523094177246
7.504    -0.487723588943481    41.6395645141602
7.604    -0.541095554828644    42.550537109375
7.704    -0.503540337085724    43.309440612793
7.805    -0.527252793312073    44.0688285827637
7.905    -0.487723588943481    44.7519378662109
8.005    -0.499592483043671    45.4729461669922
8.105    -0.503540337085724    46.4980964660645
8.205    -0.513435304164886    47.2191009521484
8.306    -0.493645370006561    48.3200454711914
8.406    -0.519357085227966    48.7752876281738
8.506    -0.515409231185913    49.7999534606934
8.606    -0.483775734901428    50.7109298706055
8.706    -0.493645370006561    51.5461082458496
8.806    -0.491671442985535    52.3433952331543
8.907    -0.495619297027588    53.2164726257324
9.007    -0.515409231185913    53.9374809265137
9.107    -0.537147700786591    55.0005264282227
9.207    -0.471906870603561    55.6836357116699
9.307    -0.50551426410675    56.2530555725098
9.408    -0.499592483043671    57.4676895141602
9.508    -0.493645370006561    58.1128997802734
9.608    -0.50551426410675    59.137565612793
9.708    -0.485749661922455    59.8206748962402
9.808    -0.499592483043671    60.8079299926758
9.909    -0.479802578687668    61.5668334960938
10.009    -0.483775734901428    62.3262214660645
10.109    -0.489697515964508    63.1230201721191
10.209    -0.487723588943481    64.1102752685547
10.309    -0.499592483043671    64.9070739746094
10.41    -0.497618556022644    65.9701232910156
10.51    -0.493645370006561    66.6532287597656
10.61    -0.495619297027588    67.6778945922852
10.71    -0.515409231185913    68.247314453125
10.81    -0.489697515964508    69.3103637695313
10.911    -0.531225919723511    69.8414001464844
11.011    -0.487723588943481    70.9423446655273
11.111    -0.487723588943481    71.3596878051758
11.211    -0.493645370006561    72.6127014160156
11.311    -0.495619297027588    73.0300521850586
11.412    -0.483775734901428    74.0926132202148
11.512    -0.475854724645615    74.8899002075195
11.612    -0.485749661922455    75.8766632080078
11.712    -0.525278866291046    76.6739501953125
11.812    -0.50551426410675    77.6607208251953
11.913    -0.497618556022644    78.3059310913086
12.013    -0.485749661922455    79.3310852050781
12.113    -0.515409231185913    79.7863235473633
12.213    -0.51143604516983    81.1151351928711
12.313    -0.525278866291046    81.8740386962891
12.414    -0.513435304164886    82.6713256835938
12.514    -0.52330493927002    83.316535949707
12.614    -0.50551426410675    84.1517181396484
12.714    -0.503540337085724    85.0626907348633
12.814    -0.489697515964508    85.6321105957031
12.915    -0.483775734901428    86.8083648681641
13.015    -0.50551426410675    87.5677490234375
13.115    -0.497618556022644    88.6686935424805
13.215    -0.487723588943481    89.0481491088867
13.315    -0.491671442985535    90.0728073120117
13.416    -0.487723588943481    90.7559204101563
13.516    -0.497618556022644    91.7810745239258
13.616    -0.483775734901428    92.3883895874023
13.716    -0.491671442985535    93.3372573852539
13.816    -0.519357085227966    94.0203704833984
13.917    -0.495619297027588    95.0834121704102
14.017    -0.493645370006561    95.8802108764648
14.117    -0.489697515964508    96.6017074584961
14.217    -0.531225919723511    97.5126800537109
14.317    -0.495619297027588    98.3094787597656
14.418    -0.527252793312073    98.8788986206055
14.518    -0.515409231185913    100.13143157959
14.618    -0.509462118148804    100.890815734863
14.718    -0.485749661922455    101.801795959473
14.818    -0.519357085227966    102.484901428223
14.919    -0.483775734901428    103.623741149902
15.019    -0.497618556022644    104.193161010742
15.119    -0.477828651666641    105.40779876709
15.219    -0.497618556022644    105.787246704102
15.319    -0.493645370006561    106.963981628418
15.42    -0.515409231185913    107.647094726563
15.52    -0.477828651666641    108.520172119141
15.62    -0.487723588943481    109.165382385254
15.72    -0.497618556022644    110.266326904297
15.82    -0.442247331142426    111.101020812988
15.921    -0.483775734901428    111.860412597656
16.021    -0.497618556022644    112.581420898438
16.121    -0.509462118148804    113.530288696289
16.221    -0.465985089540482    114.403366088867
16.321    -0.509462118148804    115.124862670898
16.422    -0.460037976503372    116.111625671387
16.522    -0.495619297027588    117.09839630127
16.622    -0.519357085227966    117.857780456543
16.722    -0.477828651666641    118.616683959961
16.822    -0.515409231185913    119.679733276367
16.923    -0.50551426410675    120.249153137207
17.023    -0.499592483043671    121.045951843262
17.123    -0.497618556022644    121.91902923584
17.223    -0.519357085227966    122.754211425781
17.323    -0.503540337085724    123.551010131836
17.423    -0.477828651666641    124.424087524414
17.524    -0.497618556022644    125.335067749023
17.624    -0.499592483043671    126.246040344238
17.724    -0.495619297027588    126.891250610352
17.824    -0.499592483043671    127.76432800293
17.924    -0.493645370006561    128.599517822266
18.025    -0.493645370006561    129.586273193359
18.125    -0.489697515964508    130.269882202148
18.225    -0.485749661922455    131.104568481445
18.325    -0.501566410064697    131.67399597168
18.425    -0.499592483043671    132.737045288086
18.526    -0.493645370006561    133.648010253906
18.626    -0.473880797624588    134.596878051758
18.726    -0.507488191127777    135.242095947266
18.826    -0.493645370006561    136.190963745117
18.926    -0.495619297027588    136.988250732422
19.027    -0.489697515964508    138.164993286133
19.127    -0.497618556022644    138.544448852539
19.227    -0.487723588943481    139.569107055664
19.327    -0.477828651666641    140.062728881836
19.427    -0.501566410064697    141.163192749023
19.528    -0.477828651666641    142.036270141602
19.628    -0.499592483043671    142.947250366211
19.728    -0.473880797624588    143.59245300293
19.828    -0.503540337085724    144.617599487305
19.928    -0.467959016561508    145.452789306641
20.028    -0.479802578687668    146.211685180664
20.129    -0.462011903524399    146.932693481445
20.229    -0.475854724645615    148.033645629883
20.329    -0.458064049482346    148.716751098633
20.429    -0.477828651666641    149.514038085938
20.529    -0.493645370006561    150.311325073242
20.63    -0.483775734901428    151.298095703125
20.73    -0.501566410064697    152.056991577148
20.83    -0.481801807880402    152.854278564453
20.93    -0.465985089540482    153.499496459961
21.03    -0.483775734901428    154.410461425781
21.131    -0.501566410064697    155.283538818359
21.231    -0.479802578687668    156.270309448242
21.331    -0.501566410064697    157.257080078125
21.431    -0.485749661922455    157.788604736328
21.531    -0.493645370006561    158.813751220703
